timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1713939789726,45,PYTHON,201,Created,CATEGORIA_POST 1-1,text,true,,368,234,3,3,http://localhost:8000/api/v1/inventario/categorias,45,0,1
1713939789771,6,GO,200,OK,CATEGORIA_POST 1-1,text,true,,481,230,3,3,http://localhost:3000/api/v1/inventario/categorias,6,0,1
1713939789777,8,JAVA,201,,CATEGORIA_POST 1-1,,true,,121,232,3,3,http://localhost:8080/api/v1/inventario/categorias,8,0,1
1713939789753,36,PYTHON,201,Created,CATEGORIA_POST 1-2,text,true,,368,234,3,3,http://localhost:8000/api/v1/inventario/categorias,36,0,1
1713939789789,5,GO,200,OK,CATEGORIA_POST 1-2,text,true,,481,230,3,3,http://localhost:3000/api/v1/inventario/categorias,5,0,1
1713939789795,5,JAVA,201,,CATEGORIA_POST 1-2,,true,,121,232,4,4,http://localhost:8080/api/v1/inventario/categorias,5,0,1
1713939789769,51,PYTHON,201,Created,CATEGORIA_POST 1-3,text,true,,368,234,5,5,http://localhost:8000/api/v1/inventario/categorias,51,0,0
1713939789821,7,GO,200,OK,CATEGORIA_POST 1-3,text,true,,481,230,5,5,http://localhost:3000/api/v1/inventario/categorias,7,0,0
1713939789785,49,PYTHON,201,Created,CATEGORIA_POST 1-1,text,true,,368,234,5,5,http://localhost:8000/api/v1/inventario/categorias,49,0,0
1713939789828,7,JAVA,201,,CATEGORIA_POST 1-3,,true,,121,232,5,5,http://localhost:8080/api/v1/inventario/categorias,7,0,2
1713939789834,5,GO,200,OK,CATEGORIA_POST 1-1,text,true,,481,230,6,6,http://localhost:3000/api/v1/inventario/categorias,5,0,0
1713939789839,4,JAVA,201,,CATEGORIA_POST 1-1,,true,,121,232,6,6,http://localhost:8080/api/v1/inventario/categorias,4,0,0
1713939789799,69,PYTHON,201,Created,CATEGORIA_POST 1-4,text,true,,369,234,7,7,http://localhost:8000/api/v1/inventario/categorias,69,0,1
1713939789869,6,GO,200,OK,CATEGORIA_POST 1-4,text,true,,481,230,8,8,http://localhost:3000/api/v1/inventario/categorias,6,0,1
1713939789801,81,PYTHON,201,Created,CATEGORIA_POST 1-2,text,true,,369,234,8,8,http://localhost:8000/api/v1/inventario/categorias,81,0,0
1713939789875,8,JAVA,201,,CATEGORIA_POST 1-4,,true,,121,232,8,8,http://localhost:8080/api/v1/inventario/categorias,8,0,1
1713939789882,3,GO,200,OK,CATEGORIA_POST 1-2,text,true,,481,230,8,8,http://localhost:3000/api/v1/inventario/categorias,3,0,0
1713939789886,8,JAVA,201,,CATEGORIA_POST 1-2,,true,,121,232,9,9,http://localhost:8080/api/v1/inventario/categorias,8,0,0
1713939789814,89,PYTHON,201,Created,CATEGORIA_POST 1-5,text,true,,369,234,9,9,http://localhost:8000/api/v1/inventario/categorias,89,0,1
1713939789904,5,GO,200,OK,CATEGORIA_POST 1-5,text,true,,481,230,9,9,http://localhost:3000/api/v1/inventario/categorias,5,0,0
1713939789909,8,JAVA,201,,CATEGORIA_POST 1-5,,true,,121,232,10,10,http://localhost:8080/api/v1/inventario/categorias,8,0,1
1713939789835,95,PYTHON,201,Created,CATEGORIA_POST 1-3,text,true,,369,234,10,10,http://localhost:8000/api/v1/inventario/categorias,94,0,1
1713939789930,4,GO,200,OK,CATEGORIA_POST 1-3,text,true,,481,230,10,10,http://localhost:3000/api/v1/inventario/categorias,4,0,0
1713939789837,102,PYTHON,201,Created,CATEGORIA_POST 1-6,text,true,,369,234,11,11,http://localhost:8000/api/v1/inventario/categorias,101,0,0
1713939789934,5,JAVA,201,,CATEGORIA_POST 1-3,,true,,121,232,11,11,http://localhost:8080/api/v1/inventario/categorias,5,0,0
1713939789939,6,GO,200,OK,CATEGORIA_POST 1-6,text,true,,481,230,11,11,http://localhost:3000/api/v1/inventario/categorias,6,0,0
1713939789945,5,JAVA,201,,CATEGORIA_POST 1-6,,true,,121,232,11,11,http://localhost:8080/api/v1/inventario/categorias,5,0,1
1713939789844,130,PYTHON,201,Created,CATEGORIA_POST 1-1,text,true,,369,234,12,12,http://localhost:8000/api/v1/inventario/categorias,130,0,0
1713939789974,4,GO,200,OK,CATEGORIA_POST 1-1,text,true,,481,230,13,13,http://localhost:3000/api/v1/inventario/categorias,4,0,0
1713939789978,5,JAVA,201,,CATEGORIA_POST 1-1,,true,,121,232,13,13,http://localhost:8080/api/v1/inventario/categorias,5,0,0
1713939789851,133,PYTHON,201,Created,CATEGORIA_POST 1-7,text,true,,369,234,13,13,http://localhost:8000/api/v1/inventario/categorias,133,0,1
1713939789984,6,GO,200,OK,CATEGORIA_POST 1-7,text,true,,481,230,13,13,http://localhost:3000/api/v1/inventario/categorias,6,0,0
1713939789990,7,JAVA,201,,CATEGORIA_POST 1-7,,true,,121,232,14,14,http://localhost:8080/api/v1/inventario/categorias,7,0,1
1713939789872,150,PYTHON,201,Created,CATEGORIA_POST 1-8,text,true,,369,234,15,15,http://localhost:8000/api/v1/inventario/categorias,150,0,1
1713939790023,6,GO,200,OK,CATEGORIA_POST 1-8,text,true,,481,230,15,15,http://localhost:3000/api/v1/inventario/categorias,6,0,0
1713939790030,14,JAVA,201,,CATEGORIA_POST 1-8,,true,,121,232,16,16,http://localhost:8080/api/v1/inventario/categorias,14,0,0
1713939789883,166,PYTHON,201,Created,CATEGORIA_POST 1-4,text,true,,369,234,16,16,http://localhost:8000/api/v1/inventario/categorias,166,0,0
1713939790049,15,GO,200,OK,CATEGORIA_POST 1-4,text,true,,481,230,17,17,http://localhost:3000/api/v1/inventario/categorias,15,0,0
1713939789894,173,PYTHON,201,Created,CATEGORIA_POST 1-9,text,true,,369,234,17,17,http://localhost:8000/api/v1/inventario/categorias,173,0,0
1713939790064,5,JAVA,201,,CATEGORIA_POST 1-4,,true,,121,232,17,17,http://localhost:8080/api/v1/inventario/categorias,5,0,0
1713939790068,14,GO,200,OK,CATEGORIA_POST 1-9,text,true,,481,230,18,18,http://localhost:3000/api/v1/inventario/categorias,14,0,0
1713939790083,5,JAVA,201,,CATEGORIA_POST 1-9,,true,,121,232,18,18,http://localhost:8080/api/v1/inventario/categorias,5,0,0
1713939789894,209,PYTHON,201,Created,CATEGORIA_POST 1-2,text,true,,369,234,19,19,http://localhost:8000/api/v1/inventario/categorias,209,0,1
1713939790103,4,GO,200,OK,CATEGORIA_POST 1-2,text,true,,481,230,19,19,http://localhost:3000/api/v1/inventario/categorias,4,0,0
1713939790107,4,JAVA,201,,CATEGORIA_POST 1-2,,true,,121,232,19,19,http://localhost:8080/api/v1/inventario/categorias,4,0,0
1713939789911,215,PYTHON,201,Created,CATEGORIA_POST 1-10,text,true,,369,234,20,20,http://localhost:8000/api/v1/inventario/categorias,215,0,1
1713939790126,5,GO,200,OK,CATEGORIA_POST 1-10,text,true,,481,230,20,20,http://localhost:3000/api/v1/inventario/categorias,5,0,1
1713939790131,6,JAVA,201,,CATEGORIA_POST 1-10,,true,,121,232,21,21,http://localhost:8080/api/v1/inventario/categorias,6,0,1
1713939789917,230,PYTHON,201,Created,CATEGORIA_POST 1-5,text,true,,369,234,21,21,http://localhost:8000/api/v1/inventario/categorias,230,0,0
1713939790147,4,GO,200,OK,CATEGORIA_POST 1-5,text,true,,481,230,21,21,http://localhost:3000/api/v1/inventario/categorias,4,0,0
1713939789935,218,PYTHON,201,Created,CATEGORIA_POST 1-11,text,true,,369,234,22,22,http://localhost:8000/api/v1/inventario/categorias,218,0,1
1713939790151,5,JAVA,201,,CATEGORIA_POST 1-5,,true,,121,232,22,22,http://localhost:8080/api/v1/inventario/categorias,5,0,0
1713939790153,5,GO,200,OK,CATEGORIA_POST 1-11,text,true,,481,230,22,22,http://localhost:3000/api/v1/inventario/categorias,5,0,1
1713939790158,6,JAVA,201,,CATEGORIA_POST 1-11,,true,,121,232,22,22,http://localhost:8080/api/v1/inventario/categorias,6,0,1
1713939789939,233,PYTHON,201,Created,CATEGORIA_POST 1-3,text,true,,369,234,22,22,http://localhost:8000/api/v1/inventario/categorias,233,0,1
1713939790172,5,GO,200,OK,CATEGORIA_POST 1-3,text,true,,481,230,23,23,http://localhost:3000/api/v1/inventario/categorias,5,0,0
